Michigan December Average Temperature
Units: Degrees Fahrenheit
Base Period: 1940-2024
Missing: -99
Date,Value,Anomaly
194001,14.3,-4.8
194002,21.0,0.3
194003,23.1,-6.9
194004,38.1,-4.6
194005,51.1,-3.1
194006,62.8,-1.1
194007,68.7,0.3
194008,65.7,-0.9
194009,58.7,-0.4
194010,47.6,-0.5
194011,32.2,-3.3
194012,25.8,1.2
194101,20.0,0.9
194102,19.5,-1.2
194103,24.3,-5.7
194104,47.6,4.9
194105,57.4,3.2
194106,65.4,1.5
194107,69.4,1.0
194108,65.5,-1.1
194109,61.4,2.3
194110,48.5,0.4
194111,36.8,1.3
194112,29.6,5.0
194201,19.5,0.4
194202,17.8,-2.9
194203,31.9,1.9
194204,48.2,5.5
194205,54.4,0.2
194206,64.0,0.1
194207,67.6,-0.8
194208,65.9,-0.7
194209,56.8,-2.3
194210,47.8,-0.3
194211,34.3,-1.2
194212,20.2,-4.4
194301,15.0,-4.1
194302,20.9,0.2
194303,24.3,-5.7
194304,38.4,-4.3
194305,52.0,-2.2
194306,66.3,2.4
194307,69.0,0.6
194308,66.7,0.1
194309,55.4,-3.7
194310,46.1,-2.0
194311,31.9,-3.6
194312,22.4,-2.2
194401,25.8,6.7
194402,21.9,1.2
194403,25.3,-4.7
194404,38.4,-4.3
194405,58.0,3.8
194406,65.7,1.8
194407,68.3,-0.1
194408,68.4,1.8
194409,59.5,0.4
194410,46.6,-1.5
194411,37.2,1.7
194412,20.0,-4.6
194501,12.9,-6.2
194502,20.6,-0.1
194503,40.8,10.8
194504,44.3,1.6
194505,48.0,-6.2
194506,59.9,-4.0
194507,65.5,-2.9
194508,66.0,-0.6
194509,58.4,-0.7
194510,45.4,-2.7
194511,34.9,-0.6
194512,19.4,-5.2
194601,20.8,1.7
194602,18.8,-1.9
194603,40.0,10.0
194604,43.4,0.7
194605,51.4,-2.8
194606,62.4,-1.5
194607,68.1,-0.3
194608,63.6,-3.0
194609,59.5,0.4
194610,51.6,3.5
194611,36.9,1.4
194612,24.6,0.0
194701,21.7,2.6
194702,16.7,-4.0
194703,25.4,-4.6
194704,39.1,-3.6
194705,48.6,-5.6
194706,60.8,-3.1
194707,66.8,-1.6
194708,72.8,6.2
194709,60.3,1.2
194710,56.0,7.9
194711,31.0,-4.5
194712,23.2,-1.4
194801,12.9,-6.2
194802,17.4,-3.3
194803,27.4,-2.6
194804,46.1,3.4
194805,51.3,-2.9
194806,62.5,-1.4
194807,68.8,0.4
194808,67.3,0.7
194809,62.0,2.9
194810,46.2,-1.9
194811,38.8,3.3
194812,25.1,0.5
194901,23.6,4.5
194902,22.3,1.6
194903,29.1,-0.9
194904,43.2,0.5
194905,55.2,1.0
194906,67.7,3.8
194907,70.7,2.3
194908,67.8,1.2
194909,55.4,-3.7
194910,51.7,3.6
194911,33.0,-2.5
194912,25.6,1.0
195001,22.0,2.9
195002,19.3,-1.4
195003,24.0,-6.0
195004,35.0,-7.7
195005,53.4,-0.8
195006,63.0,-0.9
195007,65.2,-3.2
195008,62.4,-4.2
195009,57.1,-2.0
195010,50.9,2.8
195011,30.7,-4.8
195012,19.6,-5.0
195101,18.8,-0.3
195102,20.7,0.0
195103,28.9,-1.1
195104,41.3,-1.4
195105,56.7,2.5
195106,61.7,-2.2
195107,67.0,-1.4
195108,63.1,-3.5
195109,56.1,-3.0
195110,48.5,0.4
195111,27.2,-8.3
195112,22.0,-2.6
195201,21.4,2.3
195202,23.1,2.4
195203,27.4,-2.6
195204,44.9,2.2
195205,52.8,-1.4
195206,65.9,2.0
195207,70.2,1.8
195208,65.6,-1.0
195209,59.5,0.4
195210,42.1,-6.0
195211,36.4,0.9
195212,28.2,3.6
195301,23.0,3.9
195302,23.7,3.0
195303,31.7,1.7
195304,39.6,-3.1
195305,54.7,0.5
195306,65.4,1.5
195307,68.7,0.3
195308,67.8,1.2
195309,58.8,-0.3
195310,51.4,3.3
195311,38.8,3.3
195312,27.3,2.7
195401,17.8,-1.3
195402,28.1,7.4
195403,27.0,-3.0
195404,44.1,1.4
195405,49.2,-5.0
195406,66.2,2.3
195407,66.8,-1.6
195408,64.7,-1.9
195409,58.5,-0.6
195410,47.9,-0.2
195411,36.5,1.0
195412,23.7,-0.9
195501,19.1,0.0
195502,20.2,-0.5
195503,27.7,-2.3
195504,49.0,6.3
195505,56.9,2.7
195506,63.9,0.0
195507,73.6,5.2
195508,71.4,4.8
195509,58.8,-0.3
195510,50.0,1.9
195511,31.1,-4.4
195512,20.4,-4.2
195601,19.8,0.7
195602,20.4,-0.3
195603,25.3,-4.7
195604,39.6,-3.1
195605,51.4,-2.8
195606,65.4,1.5
195607,65.0,-3.4
195608,65.4,-1.2
195609,55.1,-4.0
195610,52.3,4.2
195611,35.1,-0.4
195612,26.5,1.9
195701,13.8,-5.3
195702,22.6,1.9
195703,29.5,-0.5
195704,43.6,0.9
195705,52.6,-1.6
195706,63.8,-0.1
195707,68.4,0.0
195708,65.0,-1.6
195709,56.9,-2.2
195710,45.8,-2.3
195711,34.8,-0.7
195712,26.6,2.0
195801,20.4,1.3
195802,15.9,-4.8
195803,30.9,0.9
195804,44.1,1.4
195805,52.5,-1.7
195806,58.6,-5.3
195807,66.6,-1.8
195808,65.7,-0.9
195809,58.5,-0.6
195810,49.4,1.3
195811,36.4,0.9
195812,15.6,-9.0
195901,13.1,-6.0
195902,16.0,-4.7
195903,27.3,-2.7
195904,42.2,-0.5
195905,58.2,4.0
195906,65.4,1.5
195907,68.5,0.1
195908,71.0,4.4
195909,61.1,2.0
195910,45.4,-2.7
195911,28.6,-6.9
195912,28.4,3.8
196001,21.4,2.3
196002,20.6,-0.1
196003,20.0,-10.0
196004,44.1,1.4
196005,53.6,-0.6
196006,61.4,-2.5
196007,65.9,-2.5
196008,66.7,0.1
196009,60.6,1.5
196010,47.6,-0.5
196011,37.6,2.1
196012,19.5,-5.1
196101,15.8,-3.3
196102,24.1,3.4
196103,32.4,2.4
196104,39.4,-3.3
196105,50.8,-3.4
196106,62.4,-1.5
196107,67.6,-0.8
196108,66.4,-0.2
196109,62.5,3.4
196110,49.7,1.6
196111,35.4,-0.1
196112,23.0,-1.6
196201,14.7,-4.4
196202,15.2,-5.5
196203,29.0,-1.0
196204,41.8,-0.9
196205,59.0,4.8
196206,63.1,-0.8
196207,65.4,-3.0
196208,65.7,-0.9
196209,56.0,-3.1
196210,49.1,1.0
196211,34.8,-0.7
196212,21.1,-3.5
196301,9.9,-9.2
196302,11.4,-9.3
196303,30.0,0.0
196304,44.0,1.3
196305,51.8,-2.4
196306,65.0,1.1
196307,68.7,0.3
196308,63.4,-3.2
196309,57.2,-1.9
196310,55.7,7.6
196311,39.8,4.3
196312,17.7,-6.9
196401,23.5,4.4
196402,21.9,1.2
196403,28.8,-1.2
196404,44.0,1.3
196405,58.2,4.0
196406,63.9,0.0
196407,69.6,1.2
196408,63.1,-3.5
196409,57.7,-1.4
196410,45.4,-2.7
196411,38.4,2.9
196412,21.8,-2.8
196501,17.2,-1.9
196502,18.2,-2.5
196503,23.5,-6.5
196504,39.3,-3.4
196505,57.7,3.5
196506,61.8,-2.1
196507,64.6,-3.8
196508,64.0,-2.6
196509,57.4,-1.7
196510,46.7,-1.4
196511,35.6,0.1
196512,29.4,4.8
196601,14.5,-4.6
196602,21.6,0.9
196603,33.1,3.1
196604,39.9,-2.8
196605,48.6,-5.6
196606,65.2,1.3
196607,70.6,2.2
196608,64.9,-1.7
196609,57.3,-1.8
196610,46.4,-1.7
196611,34.7,-0.8
196612,23.2,-1.4
196701,22.2,3.1
196702,14.7,-6.0
196703,28.8,-1.2
196704,43.0,0.3
196705,48.5,-5.7
196706,65.4,1.5
196707,65.6,-2.8
196708,62.8,-3.8
196709,57.1,-2.0
196710,46.7,-1.4
196711,31.0,-4.5
196712,25.6,1.0
196801,17.0,-2.1
196802,16.7,-4.0
196803,33.8,3.8
196804,45.5,2.8
196805,51.0,-3.2
196806,62.7,-1.2
196807,66.9,-1.5
196808,66.4,-0.2
196809,60.7,1.6
196810,49.7,1.6
196811,35.2,-0.3
196812,22.5,-2.1
196901,19.0,-0.1
196902,21.4,0.7
196903,26.5,-3.5
196904,43.9,1.2
196905,53.5,-0.7
196906,58.5,-5.4
196907,67.5,-0.9
196908,68.8,2.2
196909,59.2,0.1
196910,46.1,-2.0
196911,33.7,-1.8
196912,23.0,-1.6
197001,13.2,-5.9
197002,17.9,-2.8
197003,25.6,-4.4
197004,43.3,0.6
197005,54.6,0.4
197006,63.9,0.0
197007,69.3,0.9
197008,67.0,0.4
197009,59.3,0.2
197010,50.1,2.0
197011,35.4,-0.1
197012,23.4,-1.2
197101,14.5,-4.6
197102,19.8,-0.9
197103,25.8,-4.2
197104,40.7,-2.0
197105,51.6,-2.6
197106,67.0,3.1
197107,65.5,-2.9
197108,64.4,-2.2
197109,61.5,2.4
197110,54.8,6.7
197111,35.1,-0.4
197112,27.2,2.6
197201,16.4,-2.7
197202,16.9,-3.8
197203,24.8,-5.2
197204,38.0,-4.7
197205,56.3,2.1
197206,60.0,-3.9
197207,66.7,-1.7
197208,65.1,-1.5
197209,57.5,-1.6
197210,43.5,-4.6
197211,33.4,-2.1
197212,22.1,-2.5
197301,22.9,3.8
197302,19.7,-1.0
197303,38.1,8.1
197304,43.0,0.3
197305,50.5,-3.7
197306,65.3,1.4
197307,68.4,0.0
197308,68.9,2.3
197309,59.0,-0.1
197310,52.5,4.4
197311,36.0,0.5
197312,23.1,-1.5
197401,19.8,0.7
197402,16.5,-4.2
197403,29.2,-0.8
197404,43.6,0.9
197405,50.5,-3.7
197406,61.4,-2.5
197407,68.9,0.5
197408,65.8,-0.8
197409,54.5,-4.6
197410,45.6,-2.5
197411,36.4,0.9
197412,26.9,2.3
197501,22.2,3.1
197502,22.0,1.3
197503,26.7,-3.3
197504,36.8,-5.9
197505,58.7,4.5
197506,64.5,0.6
197507,69.1,0.7
197508,66.9,0.3
197509,54.2,-4.9
197510,49.8,1.7
197511,40.6,5.1
197512,23.8,-0.8
197601,14.9,-4.2
197602,26.1,5.4
197603,32.1,2.1
197604,45.0,2.3
197605,51.1,-3.1
197606,66.2,2.3
197607,67.9,-0.5
197608,65.3,-1.3
197609,56.7,-2.4
197610,42.7,-5.4
197611,28.8,-6.7
197612,14.8,-9.8
197701,8.6,-10.5
197702,19.2,-1.5
197703,35.7,5.7
197704,46.5,3.8
197705,60.9,6.7
197706,61.2,-2.7
197707,70.1,1.7
197708,63.2,-3.4
197709,58.9,-0.2
197710,46.0,-2.1
197711,35.9,0.4
197712,21.8,-2.8
197801,15.1,-4.0
197802,12.6,-8.1
197803,25.0,-5.0
197804,40.0,-2.7
197805,55.8,1.6
197806,62.4,-1.5
197807,66.4,-2.0
197808,66.7,0.1
197809,60.8,1.7
197810,46.3,-1.8
197811,35.5,0.0
197812,22.0,-2.6
197901,12.3,-6.8
197902,10.6,-10.1
197903,31.6,1.6
197904,40.2,-2.5
197905,52.0,-2.2
197906,62.7,-1.2
197907,67.3,-1.1
197908,63.9,-2.7
197909,59.3,0.2
197910,45.8,-2.3
197911,35.3,-0.2
197912,27.8,3.2
198001,19.6,0.5
198002,17.2,-3.5
198003,26.3,-3.7
