County,Year(s),Number of Extreme Heat Days
Alcona,1979,1
Alcona,1980,2
Alcona,1981,2
Alcona,1982,1
Alcona,1983,9
Alcona,1984,2
Alcona,1986,5
Alcona,1987,10
Alcona,1988,14
Alcona,1989,3
Alcona,1990,1
Alcona,1991,10
Alcona,1993,3
Alcona,1994,2
Alcona,1995,8
Alcona,1996,3
Alcona,1997,4
Alcona,1998,5
Alcona,1999,9
Alcona,2000,1
Alcona,2001,9
Alcona,2002,13
Alcona,2003,3
Alcona,2004,1
Alcona,2005,12
Alcona,2006,11
Alcona,2007,7
Alcona,2008,1
Alcona,2009,1
Alcona,2010,9
Alcona,2011,16
Alcona,2012,10
Alcona,2013,11
Alcona,2014,4
Alcona,2015,6
Alcona,2016,8
Alger,1981,1
Alger,1982,1
Alger,1983,3
Alger,1986,3
Alger,1987,2
Alger,1988,5
Alger,1989,1
Alger,1991,5
Alger,1995,1
Alger,1996,1
Alger,1998,1
Alger,1999,2
Alger,2000,1
Alger,2001,3
Alger,2002,5
Alger,2003,2
Alger,2005,8
Alger,2006,8
Alger,2007,6
Alger,2008,1
Alger,2010,5
Alger,2011,3
Alger,2012,5
Alger,2013,7
Alger,2014,1
Alger,2015,3
Alger,2016,2
Allegan,1979,1
Allegan,1980,15
Allegan,1981,5
Allegan,1982,5
Allegan,1983,25
Allegan,1984,8
Allegan,1985,3
Allegan,1986,8
Allegan,1987,20
Allegan,1988,31
Allegan,1989,5
Allegan,1990,7
Allegan,1991,20
Allegan,1992,2
Allegan,1993,7
Allegan,1994,8
Allegan,1995,18
Allegan,1996,4
Allegan,1997,10
Allegan,1998,10
Allegan,1999,17
Allegan,2000,5
Allegan,2001,14
Allegan,2002,15
Allegan,2003,8
Allegan,2004,4
Allegan,2005,21
Allegan,2006,16
Allegan,2007,18
Allegan,2008,9
Allegan,2009,4
Allegan,2010,30
Allegan,2011,29
Allegan,2012,31
Allegan,2013,22
Allegan,2014,13
Allegan,2015,14
Allegan,2016,21
Alpena,1980,1
